"localidad","barrio","precio","habitaciones","area (m2)"
"bosa","san bernardino","500000","2","34"
"bosa","el porvenir","700000","3","50"
"bosa","jimenez de quesada","581500","2","50"
"bosa","el retazo","700000","3","63"
"bosa","gualoche","580000","3","84"
"bosa","la cabaña","476692","2","48"
"bosa","san pablo","580000","2","46"
"bosa","brasil","600000","3","48"
"bosa","potosi","466000","3","44"
"bosa","el retazo","800000","2","108"
"bosa","el retazo","800000","2","118"
"bosa","el corzo","512000","2","43"
"bosa","el corzo","530000","3","50"
"bosa","el porvenir","600000","2","48"
"bosa","brasil","680000","2","52"
"bosa","el retazo","700000","3","63"
"bosa","el retazo","800000","4","68"
"bosa","san bernardino","396000","2","41"
"bosa","villa del rio","722000","2","50"
"bosa","el porvenir","600000","2","46"
"bosa","parcela del porvenir","550000","2","42"
"bosa","conjunto residencial violeta","450000","3","42"
"bosa","san bernardino","980000","2","38"
"bosa","san bernardino","595000","2","39"
"bosa","el retazo","1000000","3","130"
"bosa","jimenez de quesada","550000","2","55"
"bosa","gualoche","813000","2","74"
"bosa","san bernardino","608000","2","40"
"bosa","el porvenir","600000","2","48"
"bosa","brasil","680000","2","52"
"bosa","retazo","700000","3","63"
"bosa","el retazo","800000","4","68"
"bosa","potosi","550000","3","40"
"bosa","el corzo","500000","2","40"
"bosa","jorge uribe botero","700000","3","44"
"bosa","san bernardino","590000","2","39"
"bosa","centro bosa","581500","2","50"
"bosa","parcela el porvenir","550000","2","40"
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
